Manufacturer Part Number,Qty/Board,Order Qty,Description,References,Mouser PN,Mouser Ext,LCSC PN,LCSC Ext,Winner
"BAV70,215",42,231,Dual Switching Diode SOT-23,"D9-D50",771-BAV70215,$9.47,C2501,$5.83,LCSC
TLV62585DRLR,2,11,3A Buck Converter TI SOT-563,"U4,U17",595-TLV62585DRLR,$2.51,C485117,$4.02,Mouser
"CBTL02043ABQ,115",3,17,USB3.0 Mux NXP QFN-20,"U3,U6,U15",771-CBTL02043ABQ115,$27.03,C2652457,$27.34,Mouser
LP5907MFX-3.3/NOPB,1,6,3.3V LDO TI SOT-23-5,U18,595-LP5907MFX-33NOPB,$3.36,C80670,$1.05,LCSC
USBLC6-2SC6,5,28,ESD Protection ST SOT-23-6,"U0,U5,U7,U8,U21",511-USBLC6-2SC6,$6.80,C7519,$3.86,LCSC
AP22811AW5-7,5,28,Load Switch Diodes Inc SOT-23-5,"U9,U10,U16,U20,U23",621-AP22811AW5-7,$6.50,C3001660,$6.59,Mouser
SN74LVC1G08DCKR,3,17,Single AND Gate TI SC-70-5,"U14,U19,U22",595-SN74LVC1G08DCKR,$1.14,C7832,$1.06,LCSC
W25Q16JVSSIQ,1,5,16Mbit SPI Flash Winbond SOIC-8,U24,454-W25Q16JVSSIQ,$3.50,C82317,$6.91,Mouser
"PMEG3030EP,115",1,6,Schottky Diode Nexperia SOD-128,D51,771-PMEG3030EP115,$4.08,C255587,$2.80,LCSC
